grid_id,week_num,crime_num,do_num,do_num_1,do_num_2,do_num_3,do_num_4,lat,long,do_spill,do_spill_1,do_spill_2,do_spill_3,do_spill_4
2_3,7,0,0,0,0,0,0,10.124999999999998,-61.825,0.07154108767110348,0.10352608272686915,0.1563300405165877,0.005983441956323658,0.053310444352458394
2_3,8,0,0,0,0,0,0,10.124999999999998,-61.825,0.1912239603059611,0.07154108767110348,0.10352608272686915,0.1563300405165877,0.005983441956323658
2_3,9,0,0,0,0,0,0,10.124999999999998,-61.825,0.09731281564590905,0.1912239603059611,0.07154108767110348,0.10352608272686915,0.1563300405165877
2_3,10,0,0,0,0,0,0,10.124999999999998,-61.825,0.043463010376204717,0.09731281564590905,0.1912239603059611,0.07154108767110348,0.10352608272686915
2_3,11,0,0,0,0,0,0,10.124999999999998,-61.825,0.014708558642198421,0.043463010376204717,0.09731281564590905,0.1912239603059611,0.07154108767110348
2_3,12,0,0,0,0,0,0,10.124999999999998,-61.825,0.01460077927108213,0.014708558642198421,0.043463010376204717,0.09731281564590905,0.1912239603059611
2_3,13,0,0,0,0,0,0,10.124999999999998,-61.825,0,0.01460077927108213,0.014708558642198421,0.043463010376204717,0.09731281564590905
2_3,14,0,0,0,0,0,0,10.124999999999998,-61.825,0.014586745856921136,0,0.01460077927108213,0.014708558642198421,0.043463010376204717
2_3,15,0,0,0,0,0,0,10.124999999999998,-61.825,0,0.014586745856921136,0,0.01460077927108213,0.014708558642198421
2_3,16,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0.014586745856921136,0,0.01460077927108213
2_3,17,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0.014586745856921136,0
2_3,18,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0.014586745856921136
2_3,19,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,20,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,21,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,22,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,23,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,24,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,25,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,26,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,27,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,28,0,0,0,0,0,0,10.124999999999998,-61.825,0,0,0,0,0
2_3,29,0,0,0,0,0,0,10.124999999999998,-61.825,0.11143374364975818,0,0,0,0
2_3,30,0,0,0,0,0,0,10.124999999999998,-61.825,0.1712504515559974,0.11143374364975818,0,0,0
2_3,31,0,0,0,0,0,0,10.124999999999998,-61.825,0.14934330201882107,0.1712504515559974,0.11143374364975818,0,0
2_3,32,0,0,0,0,0,0,10.124999999999998,-61.825,0.5525039218495472,0.14934330201882107,0.1712504515559974,0.11143374364975818,0
2_3,33,0,0,0,0,0,0,10.124999999999998,-61.825,0.32683724080310667,0.5525039218495472,0.14934330201882107,0.1712504515559974,0.11143374364975818
2_3,34,0,0,0,0,0,0,10.124999999999998,-61.825,0.041237282357711506,0.32683724080310667,0.5525039218495472,0.14934330201882107,0.1712504515559974
2_3,35,0,0,0,0,0,0,10.124999999999998,-61.825,0.12237055839651877,0.041237282357711506,0.32683724080310667,0.5525039218495472,0.14934330201882107
2_3,36,0,0,0,0,0,0,10.124999999999998,-61.825,0.08793003418847697,0.12237055839651877,0.041237282357711506,0.32683724080310667,0.5525039218495472
2_3,37,0,0,0,0,0,0,10.124999999999998,-61.825,0.05239825177658529,0.08793003418847697,0.12237055839651877,0.041237282357711506,0.32683724080310667
2_3,38,0,0,0,0,0,0,10.124999999999998,-61.825,0.15790643408626956,0.05239825177658529,0.08793003418847697,0.12237055839651877,0.041237282357711506
2_3,39,0,0,0,0,0,0,10.124999999999998,-61.825,0.024696352698655576,0.15790643408626956,0.05239825177658529,0.08793003418847697,0.12237055839651877
2_3,40,0,0,0,0,0,0,10.124999999999998,-61.825,0,0.024696352698655576,0.15790643408626956,0.05239825177658529,0.08793003418847697
2_3,41,0,0,0,0,0,0,10.124999999999998,-61.825,0.06232331451613551,0,0.024696352698655576,0.15790643408626956,0.05239825177658529
2_3,42,0,0,0,0,0,0,10.124999999999998,-61.825,0.1403024329854098,0.06232331451613551,0,0.024696352698655576,0.15790643408626956
2_3,43,0,0,0,0,0,0,10.124999999999998,-61.825,0,0.1403024329854098,0.06232331451613551,0,0.024696352698655576
2_3,44,0,0,0,0,0,0,10.124999999999998,-61.825,0.06880324021330636,0,0.1403024329854098,0.06232331451613551,0
2_3,45,0,0,0,0,0,0,10.124999999999998,-61.825,0.014313534608117481,0.06880324021330636,0,0.1403024329854098,0.06232331451613551
2_3,46,0,0,0,0,0,0,10.124999999999998,-61.825,0.0428584761648856,0.014313534608117481,0.06880324021330636,0,0.1403024329854098
