TTPS Crime Statistics

Year,Month,Division,Offence Code,Offence,Reported,Detected
2025,April,South Western,10,"Rapes, Incest and Sexual Offences",6,2
2025,April,South Western,15,Serious Indecency,1,1
2025,April,South Western,16,Kidnapping,3,2
2025,April,South Western,16R,Kidnapping for Ransom,0,0
2025,April,South Western,21,Burglaries and Breakings,8,4
2025,April,South Western,22,Robberies,8,1
2025,April,South Western,30,Fraud Offences,3,0
2025,April,South Western,34,General Larceny,7,1
2025,April,South Western,34A,Larceny Motor Vehicles,3,1
2025,April,South Western,38,Larceny Dwelling House,0,0
2025,April,South Western,69,Narcotics,4,4
2025,April,South Western,69A,Other,7,4
2025,April,South Western,8,Woundings and Shootings,5,1
2025,April,South Western,85,Possession of Firearms and Ammunition,7,7
2025,April,Southern,1,Murders,7,2
2025,April,Southern,10,"Rapes, Incest and Sexual Offences",12,0
2025,April,Southern,15,Serious Indecency,0,0
2025,April,Southern,16,Kidnapping,1,1
2025,April,Southern,16R,Kidnapping for Ransom,0,0
2025,April,Southern,21,Burglaries and Breakings,15,3
2025,April,Southern,22,Robberies,14,8
2025,April,Southern,30,Fraud Offences,8,3
2025,April,Southern,34,General Larceny,12,4
2025,April,Southern,34A,Larceny Motor Vehicles,6,0
2025,April,Southern,38,Larceny Dwelling House,0,0
2025,April,Southern,69,Narcotics,4,4
2025,April,Southern,69A,Other,2,0
2025,April,Southern,8,Woundings and Shootings,0,0
2025,April,Southern,85,Possession of Firearms and Ammunition,17,17
2025,April,Tobago,1,Murders,0,0
2025,April,Tobago,10,"Rapes, Incest and Sexual Offences",4,1
2025,April,Tobago,15,Serious Indecency,0,0
2025,April,Tobago,16,Kidnapping,0,0
2025,April,Tobago,16R,Kidnapping for Ransom,0,0
2025,April,Tobago,21,Burglaries and Breakings,20,2
2025,April,Tobago,22,Robberies,4,1
2025,April,Tobago,30,Fraud Offences,2,0
2025,April,Tobago,34,General Larceny,15,4
2025,April,Tobago,34A,Larceny Motor Vehicles,1,0
2025,April,Tobago,38,Larceny Dwelling House,0,0
2025,April,Tobago,69,Narcotics,6,6
2025,April,Tobago,69A,Other,5,2
2025,April,Tobago,8,Woundings and Shootings,1,1
2025,April,Tobago,85,Possession of Firearms and Ammunition,0,0
2025,April,Western,1,Murders,2,1
2025,April,Western,10,"Rapes, Incest and Sexual Offences",4,0
2025,April,Western,15,Serious Indecency,0,0
2025,April,Western,16,Kidnapping,0,0
2025,April,Western,16R,Kidnapping for Ransom,0,0
2025,April,Western,21,Burglaries and Breakings,3,2
2025,April,Western,22,Robberies,17,3
2025,April,Western,30,Fraud Offences,6,6
2025,April,Western,34,General Larceny,16,4
2025,April,Western,34A,Larceny Motor Vehicles,3,0
2025,April,Western,38,Larceny Dwelling House,1,0
2025,April,Western,69,Narcotics,0,0
2025,April,Western,69A,Other,1,0
2025,April,Western,8,Woundings and Shootings,2,0
2025,April,Western,85,Possession of Firearms and Ammunition,2,2
2025,May,Central,1,Murders,7,1
2025,May,Central,10,"Rapes, Incest and Sexual Offences",13,1
2025,May,Central,15,Serious Indecency,0,0
2025,May,Central,16,Kidnapping,1,1
2025,May,Central,16R,Kidnapping for Ransom,1,0
2025,May,Central,21,Burglaries and Breakings,15,2
2025,May,Central,22,Robberies,29,8
2025,May,Central,30,Fraud Offences,8,0
2025,May,Central,34,General Larceny,24,7
2025,May,Central,34A,Larceny Motor Vehicles,9,0
2025,May,Central,38,Larceny Dwelling House,1,0
2025,May,Central,69,Narcotics,3,3
2025,May,Central,69A,Other,11,8
2025,May,Central,8,Woundings and Shootings,10,3
2025,May,Central,85,Possession of Firearms and Ammunition,5,5
